#name,	nb. node nu,	#sat,	nb. node nux,	#sat nux
dist-1-1,	1,	1,	0,	1
dist-2-1,	2,	2,	1,	2
dist-2-2,	6,	3,	2,	3
dist-3-1,	4,	3,	2,	3
dist-3-3,	11,	10,	5,	10
dist-4-2,	16,	10,	6,	10
dist-4-4,	29,	35,	11,	35
dist-5-2,	21,	15,	8,	15
dist-5-5,	39,	126,	17,	126
dist-6-3,	29,	56,	14,	56
dist-6-6,	56,	462,	27,	462
dist-7-3,	35,	84,	17,	84
dist-7-7,	69,	1716,	36,	1716
dist-8-4,	69,	330,	27,	330
dist-8-8,	115,	6435,	50,	6435
dist-9-4,	79,	495,	31,	495
dist-9-9,	134,	24310,	62,	24310
dist-10-10,	164,	92378,	80,	92378
dist-10-5,	94,	2002,	42,	2002
dist-11-11,	186,	352716,	95,	352716
dist-11-5,	105,	3003,	47,	3003
dist-12-12,	233,	1352078,	117,	1352078
dist-12-6,	134,	12376,	63,	12376
dist-13-13,	259,	5200300,	135,	5200300
dist-13-6,	147,	18564,	69,	18564
dist-14-14,	300,	20058300,	161,	20058300
dist-14-7,	167,	77520,	85,	77520
dist-15-15,	329,	77558760,	182,	77558760
dist-15-7,	181,	116280,	92,	116280
